s,kW
Time,HRR_comp
 0.0000000E+000, 0.0000000E+000
 3.0007239E+001, 3.2206247E+002
 6.0082183E+001, 6.0515312E+002
 9.0072970E+001, 4.3032612E+002
 1.2000044E+002, 5.5144899E+002
 1.5001010E+002, 4.9168953E+002
 1.8006179E+002, 4.4266690E+002
 2.1000053E+002, 5.1581504E+002
 2.4000635E+002, 4.6225892E+002
 2.7003802E+002, 5.0511155E+002
 3.0001405E+002, 4.9693137E+002
 3.3001576E+002, 4.6130833E+002
 3.6000943E+002, 4.8332563E+002
 3.9000659E+002, 5.0019647E+002
 4.2006177E+002, 4.6847422E+002
 4.5003971E+002, 5.1557997E+002
 4.8002077E+002, 4.6608792E+002
 5.1006012E+002, 4.9121178E+002
 5.4001400E+002, 5.0328037E+002
 5.7002789E+002, 4.8707327E+002
 6.0005744E+002, 4.7630519E+002
 6.3003072E+002, 4.9850472E+002
 6.6005579E+002, 5.2901982E+002
 6.9005844E+002, 5.1985572E+002
 7.2005059E+002, 5.1644185E+002
 7.5004146E+002, 5.0201737E+002
 7.8004775E+002, 4.8601222E+002
 8.1004972E+002, 5.4243247E+002
 8.4002552E+002, 5.0763839E+002
 8.7000897E+002, 4.9856537E+002
 9.0000613E+002, 5.1930742E+002
 9.3002723E+002, 4.9461402E+002
 9.6000433E+002, 5.0446522E+002
 9.9001480E+002, 5.2511686E+002
 1.0200551E+003, 4.9722201E+002
 1.0500412E+003, 4.9548897E+002
 1.0800331E+003, 5.2451359E+002
 1.1100257E+003, 4.9028378E+002
 1.1400384E+003, 4.9129994E+002
 1.1700118E+003, 5.2901084E+002
 1.2000539E+003, 4.9669498E+002
 1.2300453E+003, 5.0806828E+002
 1.2600244E+003, 5.0013279E+002
 1.2900046E+003, 5.2488692E+002
 1.3200057E+003, 5.3657123E+002
 1.3500444E+003, 5.6391387E+002
 1.3800364E+003, 5.2068598E+002
 1.4100077E+003, 5.5895554E+002
 1.4400327E+003, 5.1921473E+002
 1.4700105E+003, 5.2047069E+002
 1.5000161E+003, 5.3596505E+002
 1.5300562E+003, 5.1974943E+002
 1.5600445E+003, 5.0315674E+002
 1.5900544E+003, 5.1213181E+002
 1.6200087E+003, 5.3516115E+002
 1.6500425E+003, 5.1953462E+002
 1.6800108E+003, 5.3571078E+002
 1.7100190E+003, 5.6483737E+002
 1.7400160E+003, 4.9007920E+002
 1.7700523E+003, 5.5837084E+002
 1.8000000E+003, 5.0683873E+002
